Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
07/11/2016,25.98173714,62.20407867,131.5987091,73.5332489,26.4811039,85.63650513,68.30079651,89.7365036,166.5852051,110.0684814,117.2972717,30.53531456,102.2050629,60.96797562,36.05013657,99.6831131,146.2973633,49.20044708,55.90232468,48.24293137,23.63445473,75.07016754,57.49337006,93.60590363,131.5207825,79.71565247,37.99552917,70.09940338,62.85750961,65.22594452
08/11/2016,26.13468933,62.26906967,131.8397675,74.34979248,26.53245354,85.989151,68.02069855,89.68898773,166.9891052,110.5132141,117.9433289,30.57932663,102.5467453,61.09884262,36.40673065,100.8228912,147.4091949,49.57733154,55.94858551,48.40402603,23.57159424,75.85066986,57.67190552,95.960289,132.4196472,80.07309723,38.14764786,68.92892456,62.86651993,65.6957016
09/11/2016,26.09233475,63.81953049,134.5191803,80.07439423,26.84057045,86.26964569,68.58087921,89.93606567,176.8200989,112.0874939,117.6697083,30.58812904,105.4028168,63.9081955,35.8888092,101.5915985,146.8575745,52.58425903,55.67101288,48.44193268,25.23732185,74.52377319,58.47531509,95.00963593,131.4929657,80.42092133,38.3157692,70.17687225,64.04655457,66.41958618
10/11/2016,25.36519432,65.09146881,136.9297943,82.04992676,26.53245354,86.38988495,68.93735504,90.24015045,184.3838348,114.7647247,121.7818146,30.36806679,104.7282104,66.87458038,34.75959015,101.1763306,150.2103577,53.22332382,54.31092834,47.75017548,26.31375694,71.94799042,60.48382568,97.39066315,135.4127655,79.09734344,37.37909317,69.60023499,64.30780029,67.03564453
11/11/2016,25.51579666,65.45355225,137.6993256,81.66361237,26.84057045,85.46820068,68.30079651,92.8249588,187.2018127,115.494072,122.5799179,30.46488953,103.7907944,66.90948486,34.83600998,100.9200897,150.8998413,52.39580536,54.60699844,48.11026382,25.60661125,72.48570251,60.73488235,97.97702026,135.6815186,79.106987,37.37909317,69.7551651,64.16365051,65.97292328
14/11/2016,24.8757267,67.23609161,139.0622253,82.68210602,26.84912872,85.42810822,68.05891418,93.05303192,192.011734,113.5550919,120.2540131,30.35046577,102.152504,69.3698349,34.9548645,104.1362534,149.029541,52.05169296,53.77428818,47.57960129,25.44160843,71.98268127,60.17696762,99.66508484,141.1117401,75.72549438,36.97079849,70.36621094,63.49708176,65.67259216
15/11/2016,25.20517159,67.28253937,137.3191986,82.91917419,27.13157272,87.32758331,67.68973541,92.84397125,193.8568268,110.6466217,120.6036606,30.72897148,101.9071884,69.23895264,35.18410873,104.5426865,150.1758575,52.15001678,54.83618164,47.50378799,25.32375145,72.52037811,60.07653427,99.37187958,141.0653992,75.90908813,37.92348099,72.0046463,64.33483124,66.85850525
16/11/2016,25.88289642,66.54907227,135.7708588,81.96214294,27.02030754,87.70806122,67.70245361,94.19339752,189.3314209,111.4738007,121.0749283,30.66734123,101.9422379,67.52893066,35.03128433,105.3290482,149.2043457,51.31430054,55.5627327,48.02498245,25.11160851,72.14746857,60.04285049,98.92765808,140.3889008,77.53077698,38.37180328,71.92684937,64.30780029,66.03453064
17/11/2016,25.87348366,66.64191437,134.7417297,81.46166229,25.71936417,87.52187347,67.93161011,94.43096924,192.4248505,114.6757813,121.4625397,30.8257885,102.1262054,68.06985474,34.91242218,105.5410919,149.8636169,51.3716507,56.48490524,48.88730621,24.93088913,72.04341888,59.89689255,98.77663422,139.7124939,78.48925018,38.29976273,72.61853027,62.32605362,65.63410187
18/11/2016,25.89936638,65.91775513,135.6873932,81.0753479,25.83062935,88.39611053,67.76612091,93.35713196,193.0857391,114.142128,121.9109802,30.76417732,101.7645264,67.79936981,34.73411942,106.0270615,150.0284119,50.69160843,56.21477127,48.42298508,24.73446274,71.11541748,59.78462982,99.34522247,138.4893188,78.24720764,38.48388672,71.99599457,61.74051666,65.67259216
21/11/2016,26.2923584,66.41912079,136.308609,81.56702423,25.71936417,89.18942261,68.74638367,92.77744293,193.7558441,114.044281,123.7200089,30.79057503,101.4469604,68.09603882,35.11619186,105.5852737,148.7793121,51.04392624,56.68982697,48.59354019,24.80517578,71.67047119,59.98109436,99.36299896,139.378891,79.08951569,38.67602921,72.99031067,62.48819733,66.60440063
22/11/2016,26.30882835,66.58623505,138.6264648,82.19921112,25.58242416,89.54559326,69.16651154,92.85348511,193.7833557,116.4991379,123.6440201,31.23069382,99.45330811,68.51482391,35.12468719,105.7531662,149.11763,50.55233002,56.93199921,49.00101852,24.61660385,71.77454376,60.0316124,99.86050415,141.0932007,77.38552856,39.62071228,72.55800629,63.16378403,66.75070953
23/11/2016,26.17469597,67.66318512,138.8304138,84.44688416,25.4283638,89.85319519,68.835495,93.37614441,194.8848724,116.7037201,123.119545,30.98422623,99.74440002,68.80272675,34.91242218,106.1507721,149.4125214,50.5031662,56.26134491,48.6504097,24.68732262,71.70516968,60.6884079,100.4557724,142.2792969,77.03701019,40.21314621,72.67040253,63.80334473,66.93553162
25/11/2016,26.3064785,67.64460754,139.1085663,84.12203979,25.75360298,89.85319519,68.97554779,93.90830994,194.031189,117.0239182,124.0012589,31.19548607,100.6794815,68.77655029,35.26052856,106.6102142,150.4881287,50.97018433,56.38243866,48.82097244,24.89946175,72.38162231,61.06452942,100.7933884,141.6029053,77.57917023,40.56539536,72.99893951,64.16365051,67.08956146
28/11/2016,26.2546978,66.96687317,138.8582306,83.32306671,25.60810089,89.44845581,69.15376282,94.05084991,193.0857391,116.1967392,125.0501938,31.25710106,99.79734802,68.33158875,35.44731903,107.6351395,149.6293945,50.63426208,56.45695877,48.33768463,24.78160667,72.04341888,60.87927628,101.1132202,140.9541931,76.56261444,40.92565155,73.79438782,64.12763977,66.58900452
29/11/2016,26.22881508,66.37269592,140.59198,82.56797028,25.53107262,88.50943756,68.73365021,94.71605682,194.9732971,115.9016495,124.2976837,31.08106041,99.22395325,68.85508728,35.23326874,107.4570541,149.8636169,50.95379257,56.90407181,47.97759628,25.08018303,71.8872757,61.0982132,101.01548,146.0323486,76.63037872,40.79756165,73.95002747,64.28978729,66.1500473
30/11/2016,26.00761795,66.88332367,139.590683,83.90251923,25.52251053,90.30651855,70.93606567,94.19339752,201.9159241,115.7049408,123.3019791,30.54411697,98.18301392,69.94564819,34.54829407,106.2015381,148.9701996,50.13447952,56.13093185,47.44693756,25.25303841,71.51437378,60.46949768,100.7045212,147.2929077,74.85862732,39.94895935,73.25833893,63.44303131,67.2281723
