Date,AAPL,MSFT,AMZN,GOOGL
15/11/2011,11.90604687,21.68316078,217.8300018,308.5885925
16/11/2011,11.78172779,21.13986588,211.9900055,306.0410461
17/11/2011,11.5563612,20.71010208,204.5200043,300.7357483
18/11/2011,11.48073101,20.51548004,197.1399994,297.7377319
21/11/2011,11.29915428,20.27221298,189.25,290.7607727
22/11/2011,11.52880669,20.1019249,192.3399963,290.2902832
23/11/2011,11.23730278,19.84243965,188.9900055,285.340332
25/11/2011,11.1325779,19.70459557,182.3999939,281.7817688
28/11/2011,11.51686573,20.16679764,194.1499939,294.3893738
29/11/2011,11.42745018,20.1424675,188.3899994,291.7567444
30/11/2011,11.70303345,20.74252892,192.2899933,299.9949951
01/12/2011,11.87848854,20.49926186,197.1300049,307.1921997
02/12/2011,11.93268108,20.4506073,196.0299988,310.4904785
05/12/2011,12.03403664,20.83983231,196.2400055,313.1381531
06/12/2011,11.97095871,20.80739784,191.9900055,312.1972046
07/12/2011,11.91400623,20.75874901,195.3200073,312.007019
08/12/2011,11.96208,20.59656143,190.4799957,308.3333435
09/12/2011,12.05271435,20.83983231,193.0299988,314.0240173
12/12/2011,11.99821281,20.68576431,189.5200043,313.0079956
13/12/2011,11.90543461,20.88849258,180.5099945,313.1281128
14/12/2011,11.64148617,20.75064087,180.2100067,309.3443298
15/12/2011,11.60321331,20.72631264,181.2599945,310.0800781
16/12/2011,11.6669035,21.08310127,181.2599945,313.2933044
19/12/2011,11.70334148,20.70198631,179.3300018,311.2262268
20/12/2011,12.1240654,21.10742378,182.5200043,315.5004883
21/12/2011,12.13937092,20.88849258,174.3500061,313.2232361
22/12/2011,12.20367336,20.92903709,179.0299988,315.1651611
23/12/2011,12.35003853,21.10742378,177.2799988,316.8869019
27/12/2011,12.44802284,21.11553574,176.2700043,320.4454346
28/12/2011,12.32890987,20.93714523,173.8899994,320.170166
29/12/2011,12.40484905,21.09931755,173.8600006,321.5215149
30/12/2011,12.40117455,21.0506649,173.1000061,323.2732849
03/01/2012,12.59193897,21.7074852,179.0299988,333.0380249
04/01/2012,12.65960789,22.21834373,177.5099945,334.4744873
